,工业增加值同比增速三月平均,10年期国债到期收益率,CPI同比,PPI同比,社融同比增速
2016-06-30,6.066666666666667,0.35197634718946885,1.879503,-2.6,11.852099100142377
2016-07-31,6.066666666666667,0.3601267646211466,1.765113,-1.7,6.534718786079496
2016-08-31,6.166666666666668,0.3646308113035551,1.339773,-0.8,7.7683791110094935
2016-09-30,6.133333333333334,0.36686477364443465,1.920226,0.1,8.512597304762703
2016-10-31,6.166666666666668,0.3646308113035551,2.095947,1.2,11.490814227402213
2016-11-30,6.133333333333334,0.33896007050369464,2.252258,3.3,17.648944032754944
2016-12-31,6.100000000000001,0.3320604349991699,2.076545,5.5,15.641754618270575
2017-01-31,5.045750000000001,0.2988196623337816,2.549055,6.9,7.616026344590754
2017-02-28,6.4199436666666685,0.30375748002794567,0.8,7.8,12.796014335580686
2017-03-31,6.953277000000001,0.30461800901669306,0.9,7.6,6.246834558322112
2017-04-30,8.140860333333334,0.2884504442136841,1.2,6.4,14.804440882304991
2017-05-31,6.866666666666667,0.2769929643787048,1.5,5.5,25.341016437193332
2017-06-30,6.866666666666667,0.280245495053667,1.5,5.5,32.52412077101097
2017-07-31,6.833333333333335,0.27578599007170435,1.4,5.5,44.91064706093633
2017-08-31,6.666666666666668,0.2757479663587481,1.8,6.3,45.39373808034524
2017-09-30,6.333333333333335,0.2767323444764224,1.6,6.9,47.27519255808985
2017-10-31,6.266666666666668,0.25695711385769715,1.9,6.9,48.54251295778911
2017-11-30,6.300000000000001,0.257062800442148,1.7,5.8,44.448684498851996
2017-12-31,6.166666666666668,0.2576854691163965,1.8,4.9,46.79829522114951
2018-01-31,9.244833666666667,0.25549310168625444,1.5,4.3,40.917656532059695
2018-02-28,6.504872666666667,0.26176639966493903,2.9,3.7,39.363933305558874
2018-03-31,6.438206000000001,0.2673296441842436,2.1,3.1,33.685985153508604
2018-04-30,3.626705666666668,0.2761134273959743,1.8,3.4,27.08005530583293
2018-05-31,6.600000000000001,0.276785961416037,1.8,4.1,17.180834868201433
2018-06-30,6.600000000000001,0.28772010588099894,1.9,4.7,9.581711205451215
2018-07-31,6.266666666666668,0.2872572676088705,2.1,4.6,0.703829791146382
2018-08-31,6.033333333333334,0.27971245559564767,2.3,4.1,-0.2671280778708707
2018-09-30,5.966666666666668,0.2769852920809905,2.5,3.6,-4.569496468407753
2018-10-31,5.9333333333333345,0.2850139656843185,2.5,3.3,-9.66342679484946
2018-11-30,5.700000000000002,0.29806259314456035,2.2,2.7,-13.900650117089885
2018-12-31,5.666666666666668,0.30993336432666974,1.9,0.9,-14.000239622513444
2019-01-31,5.965917666666669,0.3221960885394851,1.7,0.1,-5.853032462677509
2019-02-28,5.286156666666668,0.3151492231571649,1.5,0.1,-7.160103678360585
2019-03-31,6.219490000000001,0.3259133722256624,2.3,0.4,1.0263078762147382
2019-04-30,5.753572333333335,0.2952552481620361,2.5,0.9,-2.26449242609309
2019-05-31,6.300000000000002,0.3053341882690605,2.7,0.6,2.785047991206957
2019-06-30,5.566666666666667,0.3100390649221802,2.7,0.0,7.6232057689568755
2019-07-31,5.366666666666667,0.3169371196754564,2.8,-0.3,6.566655271698707
2019-08-31,5.166666666666668,0.32708599090700946,2.8,-0.8,4.07914797197384
2019-09-30,5.000000000000001,0.3183598102575531,3.0,-1.2,6.002315568180894
2019-10-31,4.966666666666668,0.30413625304136255,3.8,-1.6,8.537700576119533
2019-11-30,5.566666666666667,0.315955766192733,4.5,-1.4,13.553790694922041
2019-12-31,5.9333333333333345,0.3188267176789415,4.5,-0.5,14.145007086328466
2020-01-31,2.9288270000000014,0.33409060537217694,5.4,0.1,8.40008912503678
2020-02-29,-7.760190333333333,0.3652834599649328,5.2,-0.4,9.103204219140103
2020-03-31,-10.426857,0.3861152940267964,4.3,-1.5,12.5320055535175
2020-04-30,-7.689017333333332,0.39401103230890466,3.3,-3.1,20.92181093903738
2020-05-31,2.4000000000000012,0.3696447713747089,2.4,-3.7,23.960483705359547
2020-06-30,4.366666666666668,0.35423308537017356,2.5,-3.0,24.412802960828106
2020-07-31,4.666666666666668,0.337108953613808,2.7,-2.4,28.75761768720373
2020-08-31,5.066666666666667,0.3313782019418763,2.4,-2.0,35.436358769864015
2020-09-30,5.766666666666668,0.3176418270757893,1.7,-2.1,38.117725304602644
2020-10-31,6.466666666666669,0.31436655139893116,0.5,-2.1,40.68893479180389
2020-11-30,6.9333333333333345,0.3076923076923077,-0.5,-1.5,39.13724313482278
2020-12-31,7.066666666666667,0.3181774793980082,0.2,-0.4,35.51629557371561
