,PC1,PC2,PC3,PC4,PC5,PC6
2014-03-31,-0.8754755233099542,1.8756343785945266,-0.9081239862364111,-0.8353165718764779,-0.3909872929530659,0.562503477608
2014-04-30,-1.2604821409482463,1.8153686467459633,-0.14505564509626712,-1.009135617986108,-0.6812994867786722,0.5168385690147379
2014-05-31,-1.6635634829329602,1.259736940388366,-0.11139700393583844,-1.2461499623024872,-0.36279741286191125,0.3992645486733077
2014-06-30,-0.48760534909357367,1.20127960096155,0.7747794886538261,-0.6954780506901795,0.33084892105466696,0.9268268875964871
2014-07-31,0.15955166463564133,0.9206177098797397,-0.1311009710611894,-0.2753747344315146,-0.27998565539288267,0.40946336606376627
2014-08-31,0.5652991821208935,1.067212188220338,-0.9543251219043506,-0.09218750234692501,0.9552586209335956,0.6566132296260202
2014-09-30,1.278728479844582,0.6151636168271654,-1.4386101752106382,0.5165961591081136,0.69147981660057,0.7389971120915789
2014-10-31,1.7998739433330737,-0.11022948998284318,-1.2137164138559524,-0.6253064163202786,0.6868506153422931,0.6220111439221119
2014-11-30,2.176810451287195,-0.9207722052635203,-0.870184464244735,-0.8235012623793481,1.2114702088726106,0.36504366400226623
2014-12-31,2.8699878854895076,-1.0860014688319783,-0.2378809550463527,-0.4392226474191619,1.111440101745688,-0.573404683140166
2015-01-31,3.0635767490712515,-0.8509879539788265,-0.137603962015567,-0.05945208496680458,1.1252918719121725,-0.554912179700483
2015-02-28,3.080142352011083,-0.09693725387112372,-0.08886987109512501,-0.5135525570216263,0.7546289240498812,-0.7836684144152612
2015-03-31,4.522049539976915,0.85170149639615,0.3631223480439144,-0.06019313542588713,-0.12219644640774471,-0.6451768271092744
2015-04-30,6.416403148909832,1.1321467480727825,0.8469189035891186,-0.1711385439203407,-0.13962053086692694,-0.6755479044189594
2015-05-31,7.95197942558577,1.6966323152675546,1.0378792353977795,0.024343518441573807,-0.7143907780676597,0.335017308846984
2015-06-30,6.400035981802541,0.9704713135395685,0.45445096975996824,-0.09978235523030919,-0.8947610974464969,-0.2715809936938467
2015-07-31,4.131394032564152,0.17429713284967968,-0.3418732207675692,-0.9829665771444661,-0.1216903318507625,-0.27664389984927673
2015-08-31,2.9009822685277227,-1.1591494230884185,-0.618304691470426,-0.4759416760505324,-0.7600416224000671,-0.52509130328239
