,M0061675,M0000545,S0059749,M1001654,M0061676,M0000612,M0061677,M0001227,M5206730
2019-08-30,5.8,4.8,3.0573,3.0566,2.67,2.8,-0.13,-0.3,12872.110273
2019-08-31,5.36,4.4,3.0573,3.0566,2.62,2.8,-0.88,-0.8,21955.765013
2019-09-30,5.23,5.8,3.1411,3.1559,2.84,3.0,-1.31,-1.2,25142.210456
2019-10-31,5.33,4.7,3.288,3.3032,3.35,3.8,-1.58,-1.6,8680.002122
2019-11-29,5.33,4.7,3.165,3.1649,3.35,3.8,-1.58,-1.6,8680.002122
2019-11-30,5.15,6.2,3.165,3.1649,4.31,4.5,-1.36,-1.4,19936.916232
2019-12-31,5.74,6.9,3.1365,3.1354,4.66,4.5,-0.31,-0.5,22013.0
2020-01-23,5.74,6.9,2.9932,2.9953,4.66,4.5,-0.31,-0.5,22013.0
2020-01-31,5.74,-4.313519,2.9932,2.9953,4.79,5.4,0.17,0.1,50535.0
2020-02-28,5.74,-4.313519,2.7376,2.7226,4.79,5.4,0.17,0.1,50535.0
2020-02-29,1.42,-25.867052,2.7376,2.7226,4.9,5.2,-0.28,-0.4,8737.0
2020-03-31,-4.03,-1.1,2.5899,2.5996,4.79,4.3,-1.12,-1.5,51838.0
2020-04-30,1.79,3.9,2.538,2.526,3.72,3.3,-2.59,-3.1,31027.0
2020-05-29,1.79,3.9,2.7053,2.7309,3.72,3.3,-2.59,-3.1,31027.0
2020-05-31,4.91,4.4,2.7053,2.7309,2.71,2.4,-3.26,-3.7,31866.0
2020-06-30,4.49,4.8,2.823,2.8405,2.55,2.5,-3.09,-3.0,34681.0
2020-07-31,5.25,4.8,2.9664,2.9615,2.64,2.7,-2.42,-2.4,16928.0
2020-08-31,5.38,5.6,3.0177,3.0281,2.41,2.4,-1.97,-2.0,35853.0
2020-09-30,5.82,6.9,3.1482,3.1574,1.81,1.7,-1.65,-2.1,34693.0
2020-10-30,5.82,6.9,3.181,3.1898,1.81,1.7,-1.65,-2.1,34693.0
2020-10-31,6.48,6.9,3.181,3.1898,0.75,0.5,-2.07,-2.1,13929.0
